A/B,item_name,aspect,summary
A,제주신라호텔 (The Shilla Jeju),직원 서비스,종종 객실 업그레이드를 해준다. 직원들의 응대가 아주 친절하다.
A,제주신라호텔 (The Shilla Jeju),객실 상태,"낡은 인테리어 디자인이고, 노후화되었다. 칫솔이 비치되어 있지 않다. "
A,제주신라호텔 (The Shilla Jeju),편의 및 부대시설,깨끗하고 잘 관리된 정원의 산책로와 바다전망을 감상할 수 있는 산책 구간이 있다. 실내와 실외 수영장이 있고 타월 및 가운이 무료로 제공된다.
A,제주신라호텔 (The Shilla Jeju),음식,"조식, 뷔페에 대부분 만족스러운 후기가 있다."
A,제주신라호텔 (The Shilla Jeju),분위기,조용하고 편안하며 올드하고 전통적인 분위기로 고급스럽다.
B,그랜드 조선 제주 (Grand Josun Jeju),직원 서비스,직원들이 다정하고 친절한 서비스를 제공한다.
B,그랜드 조선 제주 (Grand Josun Jeju),객실 상태,객실이 넓고 테라스가 있다. 깔끔하다.
B,그랜드 조선 제주 (Grand Josun Jeju),편의 및 부대시설,"크지 않은 산책코스가 있다. 라이브 공연으로 악기연주와 재즈노래를 감상할 수 있다. 사우나가 있으며, 루프탑 온수풀 수영장이 있다. 아이들을 위한 키즈시설이 있다."
B,그랜드 조선 제주 (Grand Josun Jeju),음식,조식이 다양하며 아이들을 위한 음식이 있다.
B,그랜드 조선 제주 (Grand Josun Jeju),분위기,규모가 작지만 따뜻하다.
A,도미인 서울 강남 (Dormy Inn SEOUL Gangnam),직원 서비스,직원의 응대가 친절하다. 요구사항을 잘 들어준다.
A,도미인 서울 강남 (Dormy Inn SEOUL Gangnam),객실 상태,객실 크기가 작다. 에어컨과 공기청정기가 구비되어 있어 있다. 객실의 위생상태가 청결하다. 실내복을 제공해준다.
A,도미인 서울 강남 (Dormy Inn SEOUL Gangnam),편의 및 부대시설,작은 대욕장이 있고 실내에 있다. 휴식을 취할 수 있는 사우나가 있다.
A,도미인 서울 강남 (Dormy Inn SEOUL Gangnam),음식 ,"조식 퀄리티가 좋다. 야식으로 라멘, 간장국수가 제공된다."
A,도미인 서울 강남 (Dormy Inn SEOUL Gangnam),위치 및 교통,지하철 역들 사이에 위치하여 호텔로 이동하기 애매하다.
B,글래드 마포 (GLAD MAPO),직원 서비스,친절하다. 고객의 요구사항을 잘 들어준다.
B,글래드 마포 (GLAD MAPO),객실 상태,객실이 청결하다. 
B,글래드 마포 (GLAD MAPO),편의 및 부대시설,로비에 편의점이 있다. 무료주차장이 있지만 주차장 위치가 호텔과 떨어져 있어 불편하다.
B,글래드 마포 (GLAD MAPO),음식 ,"조식이 아쉬우며, 식당 이용시간이 짧다."
